Date,Open,High,Low,Close,Volume
2017-04-03,468.25,472.3,467.6,470.4,2951896
2017-04-05,470.4,475.0,467.25,473.5,5287168
2017-04-06,474.3,478.5,470.6,473.2,6703078
2017-04-07,468.45,480.55,466.65,468.3,8089461
2017-04-10,471.65,478.3,467.55,474.9,5437523
2017-04-11,477.9,478.35,471.1,472.25,4887918
2017-04-12,468.7,471.55,461.6,464.55,5991598
2017-04-13,461.85,463.35,451.2,453.35,5930185
2017-04-17,452.0,455.7,447.3,449.2,4913930
2017-04-18,452.0,455.75,442.5,443.7,4235130
2017-04-19,443.0,449.5,438.3,443.05,6319332
2017-04-20,447.85,447.85,442.1,443.95,3288900
2017-04-21,446.75,448.45,437.6,440.6,5325590
2017-04-24,439.8,449.0,438.75,443.85,6214069
2017-04-25,445.85,447.75,443.3,445.65,5894090
2017-04-26,446.0,454.4,445.5,450.8,8438042
2017-04-27,455.0,460.9,452.7,455.35,10589249
2017-04-28,457.1,462.0,454.4,458.9,5126904
2017-05-02,456.6,457.2,448.55,451.25,6071958
2017-05-03,451.35,456.0,444.65,446.6,5158586
2017-05-04,446.65,448.1,435.15,436.5,6204022
2017-05-05,436.5,436.5,418.0,419.6,9487539
2017-05-08,424.75,428.7,417.25,422.65,7427873
2017-05-09,424.75,428.8,422.7,426.8,2833132
2017-05-10,427.8,433.0,424.0,432.3,5378402
2017-05-11,434.0,434.5,425.4,427.45,4049649
2017-05-12,429.65,433.8,427.45,430.85,3850940
2017-05-15,434.0,434.0,430.1,431.9,1885702
2017-05-16,432.25,439.5,432.25,437.25,3452072
2017-05-17,436.5,452.5,435.1,449.1,6572678
2017-05-18,442.0,448.7,436.0,437.95,6158546
2017-05-19,439.0,444.95,434.6,443.35,4387481
2017-05-22,446.0,452.75,442.6,449.65,6145914
2017-05-23,451.45,456.45,444.3,450.5,10330814
2017-05-24,470.0,473.35,458.1,469.55,27370795
2017-05-25,470.0,479.0,464.7,476.0,15108872
2017-05-26,474.1,488.25,473.5,481.1,7692869
2017-05-29,482.5,485.0,471.8,481.5,4253044
2017-05-30,482.7,487.0,480.0,481.3,3101380
2017-05-31,482.3,483.0,474.8,476.15,5393856
2017-06-01,476.95,479.7,473.55,476.65,3001232
2017-06-02,480.0,485.95,477.7,478.75,4319080
2017-06-05,478.3,481.9,475.2,478.15,2464819
2017-06-06,482.9,484.35,457.6,461.0,8016939
2017-06-07,462.55,463.65,453.5,458.0,5250544
2017-06-08,459.5,463.45,457.35,460.8,4066322
2017-06-09,459.95,468.0,455.0,467.1,4598706
2017-06-12,463.75,465.25,455.2,456.25,4341696
2017-06-13,457.15,458.75,448.0,449.55,3577406
2017-06-14,450.8,453.4,447.05,451.95,3605931
2017-06-15,452.0,457.85,446.95,448.3,3879154
2017-06-16,454.7,458.4,452.0,455.75,7042094
2017-06-19,453.8,456.4,450.5,452.35,3869675
2017-06-20,457.0,470.75,456.0,467.4,12014975
2017-06-21,466.0,466.0,455.5,457.3,5436141
2017-06-22,458.85,463.0,451.6,452.7,5008885
2017-06-23,454.0,456.5,442.4,443.15,6753648
2017-06-27,443.8,444.5,434.4,442.3,5915274
2017-06-28,443.9,446.8,440.15,442.5,4960238
2017-06-29,444.5,446.25,434.0,435.6,11085101
2017-06-30,433.9,435.6,428.05,432.55,4776892
