Date,Open,High,Low,Close,Volume
2017-04-01,468.25,480.55,437.6,458.9,105624063
2017-05-01,458.9,488.25,417.25,476.15,152316124
2017-06-01,476.95,485.95,428.05,432.55,113984752
2017-07-01,431.5,468.35,426.0,444.6,105794675
2017-08-01,446.55,452.35,358.5,376.55,153203697
2017-09-01,379.35,427.7,374.05,401.5,172230315
2017-10-01,401.5,440.95,401.5,428.4,115680473
2017-11-01,430.95,468.0,402.25,404.15,247198902
2017-12-01,407.9,433.45,389.3,431.85,135153789
2018-01-01,430.95,443.5,395.0,399.5,334048146
2018-02-01,399.9,403.8,356.5,369.9,181509302
2018-03-01,369.75,376.3,324.3,326.85,161929567
