Date,Open,High,Low,Close,Volume
2017-04-03,468.25,480.55,466.65,468.3,23031603
2017-04-10,471.65,478.35,451.2,453.35,22247224
2017-04-17,452.0,455.75,437.6,440.6,24082882
2017-04-24,439.8,462.0,438.75,458.9,36262354
2017-05-01,458.9,458.9,418.0,419.6,26922105
2017-05-08,424.75,434.5,417.25,430.85,23539996
2017-05-15,434.0,452.5,430.1,443.35,22456479
2017-05-22,446.0,488.25,442.6,481.1,66649264
2017-05-29,482.5,487.0,471.8,478.75,20068592
2017-06-05,478.3,484.35,453.5,467.1,24397330
2017-06-12,463.75,465.25,446.95,455.75,22446281
2017-06-19,453.8,470.75,442.4,443.15,33083324
2017-06-26,443.15,446.8,428.05,432.55,26737505
2017-07-03,431.5,441.45,426.0,436.85,25651375
2017-07-10,446.6,464.5,444.0,451.3,27631599
2017-07-17,455.0,465.9,452.6,464.6,17136553
2017-07-24,464.95,468.35,440.3,445.85,31570527
2017-07-31,446.25,452.35,429.6,435.6,22226816
2017-08-07,438.6,439.8,358.5,374.5,67259855
2017-08-14,380.0,392.45,372.6,380.4,31063586
2017-08-21,382.0,385.95,371.3,384.15,18944307
2017-08-28,385.85,392.85,374.45,390.85,24894079
2017-09-04,393.0,396.05,374.05,375.05,34275480
2017-09-11,380.0,406.75,374.2,401.75,42358904
2017-09-18,411.85,427.7,403.2,411.8,59081944
2017-09-25,413.65,415.3,397.4,401.5,29133662
2017-10-02,401.5,428.0,401.5,424.85,27274950
2017-10-09,424.0,432.1,409.35,424.8,26204981
2017-10-16,426.3,438.0,424.25,426.95,20465637
2017-10-23,429.1,434.35,415.05,429.9,27844805
2017-10-30,428.25,449.35,427.3,447.7,37579505
2017-11-06,445.75,468.0,420.0,422.55,106998701
2017-11-13,423.0,427.5,407.0,421.8,41195198
2017-11-20,421.0,433.0,420.1,425.5,31178375
2017-11-27,423.0,424.75,396.5,398.9,52096420
2017-12-04,405.8,413.75,395.0,411.15,43049810
2017-12-11,412.0,415.5,398.2,405.1,26646267
2017-12-18,399.0,427.75,389.3,422.0,36464704
2017-12-25,422.0,433.45,416.0,431.85,21033811
2018-01-01,430.95,441.4,422.0,431.6,47350738
2018-01-08,432.0,443.5,431.3,437.1,33940603
2018-01-15,438.05,440.05,410.1,418.05,33344859
2018-01-22,419.05,424.4,398.0,400.3,37930530
2018-01-29,402.5,405.9,381.3,383.75,35193843
2018-02-05,381.0,398.0,356.5,368.75,69146845
2018-02-12,373.4,382.3,367.6,370.75,34396967
2018-02-19,373.7,374.7,357.5,360.2,35892813
2018-02-26,362.0,376.6,362.0,370.75,31734701
2018-03-05,368.75,368.75,340.15,341.5,52334795
2018-03-12,345.0,358.4,338.4,339.75,36780241
2018-03-19,341.2,342.25,329.6,330.85,39117630
2018-03-26,328.8,335.8,324.3,326.85,26705095
